    Row   ,     event ,     ebeam ,        px ,        py ,        pz ,        zv ,  chi2
        0 ,         0 , 150.14041 , 14.333598 , -4.021043 , 143.54425 , 22.264110 , 0.9405828
        1 ,         1 , 149.78578 , 0.0509290 , -1.373310 , 148.60041 , 0.6140761 , 1.0205643
        2 ,         2 , 150.16188 , 4.0079331 , 3.8898270 , 145.68779 , 16.568965 , 0.8934459
        3 ,         3 , 150.14196 , 1.4559249 , 4.6634402 , 146.70643 , 11.466330 , 1.0217185
        4 ,         4 , 149.94201 , -10.34201 , 11.068926 , 148.32540 , 0.3665101 , 0.8540952
        5 ,         5 , 150.18460 , 17.084215 , -12.14251 , 143.10090 , 22.088724 , 0.9029421
        6 ,         6 , 150.01785 , 5.1921901 , 7.7853212 , 148.59400 , 2.2835574 , 1.0643705
        7 ,         7 , 150.05159 , 7.5478696 , -7.433323 , 144.44578 , 21.399364 , 0.9727888
        8 ,         8 , 150.07125 , 0.2315468 , -0.021122 , 147.78424 , 6.9644231 , 0.9281990
        9 ,         9 , 149.95890 , 1.2057533 , 7.2738246 , 146.99125 , 7.1694283 , 1.0203726
       10 ,        10 , 149.91664 , 5.3508482 , 3.9811716 , 140.69627 , 38.811821 , 1.0784103
       11 ,        11 , 149.87626 , -4.625746 , -0.079142 , 147.91272 , 4.0146312 , 0.8633663
       12 ,        12 , 150.10922 , -1.962243 , 11.455042 , 147.41201 , 6.7586140 , 1.0821087
       13 ,        13 , 150.02220 , -4.966853 , 4.2942524 , 145.05976 , 17.792921 , 0.9202339
       14 ,        14 , 149.85690 , 0.2636620 , 0.0957022 , 144.69007 , 22.262750 , 0.9285840
       15 ,        15 , 150.28263 , -7.495016 , 1.4888154 , 147.64340 , 7.0665574 , 1.0168865
       16 ,        16 , 149.93669 , 2.1853997 , -3.671361 , 148.74932 , 1.2530027 , 1.0101522
       17 ,        17 , 150.11419 , 10.453489 , 6.6687169 , 147.82991 , 4.4257226 , 1.0224413
       18 ,        18 , 150.09060 , -0.560505 , -0.909502 , 145.94816 , 14.877190 , 1.0072044
       19 ,        19 , 149.71482 , 8.2002382 , 3.5894899 , 147.13110 , 6.3213443 , 1.1409138
       20 ,        20 , 150.12364 , -7.086627 , -5.520020 , 145.06636 , 19.501110 , 1.1055847
       21 ,        21 , 150.19241 , -3.996811 , -8.783142 , 148.29959 , 3.2856993 , 1.0566752
       22 ,        22 , 149.74935 , 8.6041336 , 6.2061400 , 147.64433 , 2.6813583 , 1.0001720
       23 ,        23 , 150.14714 , 2.3585295 , -3.343346 , 148.47381 , 1.9962592 , 0.8632693
       24 ,        24 , 149.78625 , -0.198832 , -0.183111 , 147.52179 , 7.0266542 , 0.9161183
